NodeLeftSchemaName,NodeLeftTableName,NodeLeftName,NodeLeftDataType,NodeRightSchemaName,NodeRightTableName,NodeRightName,NodeRightDataType,BERT_BASE,FUZZY_MATCH,SYN_AND_SEM_MATCH
MedTakmi_Cdi_Emr_Diagnosis,Cdi,diseaseNameOnDischarge,String,Openemr_PatientData,Patientdata,allow_imm_reg_use,String,0.5615,29,0.806
Openemr_PatientData,Patientdata,guardiancity,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,0.6473,50,0.8408
Openemr_Lists,Lists,reinjury_id,Long,Openemr_PatientData,Patientdata,street,String,0.5149,17,0.897
Openemr_Lists,Lists,destination,String,Openemr_PatientData,Patientdata,guardianaddress,String,0.595,36,0.915
Openemr_PatientData,Patientdata,occupation,String,emrbots,PatientCorePopulatedTable,PatientGender,String,0.5375,40,0.8189
Openemr_PatientData,Patientdata,financial,String,LPanEmr,Patient,height,Long,0.5527,17,0.7095
MedTakmi_Cdi_Emr_Profile,Cdi,patientID,Long,Openemr_PatientData,Patientdata,care_team_facility,String,0.7548,35,0.8332
Openemr_Lists,Lists,injury_part,String,MedTakmi_Cdi_Emr_Therapy,Cdi,operativeProcedure1,String,0.6214,27,0.8335
Krsiloemr,tblPatient,SymptomsAndSigns,Long,Openemr_PatientData,Patientdata,mothersname,String,0.5662,36,0.7241
Openemr_PatientData,Patientdata,userlist6,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.4496,44,0.7698
Krsiloemr,tblPatient,NTproBNP,Double,Openemr_PatientData,Patientdata,allow_patient_portal,String,0.574,25,0.8058
emrbots,PatientCorePopulatedTable,AdmissionId,Long,Openemr_PatientData,Patientdata,race,String,0.51,0,0.8285
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,Openemr_PatientData,Patientdata,guardianaddress,String,0.584,25,0.939
Openemr_Lists,Lists,occurence,Long,Openemr_PatientData,Patientdata,language,String,0.7892,25,0.8909
MedTakmi_Cdi_Emr_Profile,Cdi,name,String,Openemr_PatientData,Patientdata,guardianrelationship,String,0.6643,50,0.9204
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,usertext4,String,0.5405,33,0.7774
Openemr_PatientData,Patientdata,genericval1,String,Krsiloemr,tblPatient,Age,Long,0.5908,33,0.904
Openemr_Lists,Lists,begdate,Date,Openemr_PatientData,Patientdata,lname,String,0.7889,40,0.9464
Openemr_PatientData,Patientdata,title,String,emrbots,PatientCorePopulatedTable,PatientGender,String,0.557,60,0.8141
Openemr_PatientData,Patientdata,publ_code_eff_date,String,emrbots,PatientCorePopulatedTable,PatientPopulationPercentageBelowPoverty,String,0.5657,44,0.7831
