NodeLeftSchemaName,NodeLeftTableName,NodeLeftName,NodeLeftDataType,NodeRightSchemaName,NodeRightTableName,NodeRightName,NodeRightDataType,BERT_BASE,FUZZY_MATCH,SYN_AND_SEM_MATCH
emrbots,PatientCorePopulatedTable,PatientId,String,MedTakmi_Cdi_Emr_Profile,Cdi,gender,String,0.4913,50,0.7405
Openemr_PatientData,Patientdata,sex,String,Krsiloemr,tblPatient,SymptomsAndSigns,Long,0.4923,33,0.6999
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,Openemr_PatientData,Patientdata,city,String,0.6817,25,0.6842
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,Openemr_PatientData,Patientdata,DOB,Date,0.7652,0,0.7084
Openemr_PatientData,Patientdata,usertext2,String,Openemr_Lists,Lists,modifydate,DateTime,0.6768,22,0.6669
Openemr_PatientData,Patientdata,financial_review,DateTime,MedTakmi_Cdi_Emr_CareHistory,Cdi,department,String,0.4931,30,0.5701
LPanEmr,Patient,pid,Long,Openemr_PatientData,Patientdata,race,String,0.4863,0,0.7801
Openemr_PatientData,Patientdata,guardianstate,String,emrbots,PatientCorePopulatedTable,PatientMaritalStatus,String,0.6091,54,0.7671
Openemr_PatientData,Patientdata,fitness,Long,Openemr_Lists,Lists,id,Long,0.6046,50,0.6978
Openemr_PatientData,Patientdata,referrer,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,testName,String,0.7635,25,0.7916
LPanEmr,Patient,advice,String,Openemr_PatientData,Patientdata,interpretter,String,0.802,17,0.6976
LPanEmr,Patient,heartrate,Long,Openemr_PatientData,Patientdata,lname,String,0.676,40,0.7981
LPanEmr,Patient,insurance,String,Openemr_PatientData,Patientdata,guardianstate,String,0.6392,56,0.7321
Openemr_PatientData,Patientdata,ethnicity,String,MedTakmi_Cdi_Emr_Diagnosis,Cdi,dateOfAdmission,Date,0.5522,22,0.7468
Openemr_PatientData,Patientdata,guardiansex,String,MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,0.6741,27,0.7482
Openemr_PatientData,Patientdata,pubpid,String,LPanEmr,Patient,temperature,Long,0.6178,33,0.8206
Openemr_PatientData,Patientdata,hipaa_voice,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,result,String,0.7128,17,0.8195
Openemr_Lists,Lists,id,Long,Openemr_PatientData,Patientdata,guardianworkphone,Long,0.6712,50,0.5818
Krsiloemr,tblPatient,Age,Long,Openemr_PatientData,Patientdata,allow_health_info_ex,String,0.4767,33,0.7983
emrbots,PatientCorePopulatedTable,PatientLanguage,String,Openemr_PatientData,Patientdata,homeless,String,0.349,13,0.578
Openemr_PatientData,Patientdata,fitness,Long,Openemr_Lists,Lists,referredby,String,0.5678,29,0.7411
Krsiloemr,tblPatient,ECG,Long,Openemr_PatientData,Patientdata,prot_indi_effdate,String,0.7569,0,0.8191
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,Openemr_PatientData,Patientdata,allow_imm_reg_use,String,0.6605,25,0.7743
LPanEmr,Patient,name,String,Openemr_PatientData,Patientdata,allow_imm_reg_use,String,0.6841,25,0.5588
Openemr_Lists,Lists,pid,Long,Openemr_PatientData,Patientdata,postal_code,Long,0.6519,33,0.7299
Openemr_Lists,Lists,external_id,String,Openemr_PatientData,Patientdata,DOB,Date,0.745,0,0.7379
Openemr_Lists,Lists,activity,Long,emrbots,PatientCorePopulatedTable,AdmissionStartDate,Date,0.5518,38,0.8336
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,date,DateTime,Openemr_Lists,Lists,injury_part,String,0.4669,50,0.8559
emrbots,PatientCorePopulatedTable,PatientName,String,LPanEmr,Patient,name,String,0.626,75,0.4915
MedTakmi_Cdi_Emr_Profile,Cdi,LiverDysfunction,String,Openemr_PatientData,Patientdata,billing_note,String,0.616,17,0.782
Openemr_Lists,Lists,list_option_id,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.5053,36,0.787
LPanEmr,Patient,weight,Long,emrbots,PatientCorePopulatedTable,PatientLanguage,String,0.4591,33,0.7226
LPanEmr,Patient,illness,String,emrbots,PatientCorePopulatedTable,diagnosis,String,0.6137,43,0.7143
Openemr_PatientData,Patientdata,deceased_reason,String,Krsiloemr,tblPatient,BNP,Double,0.5529,0,0.6306
Openemr_PatientData,Patientdata,ethnoracial,String,Openemr_Lists,Lists,external_allergyid,String,0.6489,55,0.7964
Openemr_Lists,Lists,injury_grade,String,MedTakmi_Cdi_Emr_Diagnosis,Cdi,dateOfDischarge,Date,0.5231,33,0.7994
emrbots,PatientCorePopulatedTable,PatientDateOfBirth,Date,Openemr_PatientData,Patientdata,date,DateTime,0.471,75,0.7612
MedTakmi_Cdi_Emr_Profile,Cdi,LiverDysfunction,String,Openemr_PatientData,Patientdata,email,String,0.4265,20,0.7483
emrbots,PatientCorePopulatedTable,PatientId,String,Openemr_Lists,Lists,comments,String,0.5641,38,0.7208
MedTakmi_Cdi_Emr_CareHistory,Cdi,department,String,Openemr_PatientData,Patientdata,squad,String,0.8769,20,0.5225
Openemr_PatientData,Patientdata,religion,String,Openemr_Lists,Lists,severity_al,String,0.4942,25,0.7332
Openemr_Lists,Lists,destination,String,Openemr_PatientData,Patientdata,imm_reg_status,String,0.7133,48,0.7668
Openemr_PatientData,Patientdata,usertext4,String,Openemr_Lists,Lists,groupname,String,0.6609,22,0.8304
LPanEmr,Patient,height,Long,emrbots,PatientCorePopulatedTable,PatientMaritalStatus,String,0.3421,33,0.534
Openemr_PatientData,Patientdata,financial,String,emrbots,PatientCorePopulatedTable,PatientName,String,0.4894,33,0.6956
emrbots,PatientCorePopulatedTable,PatientRace,String,MedTakmi_Cdi_Emr_Profile,Cdi,name,String,0.5609,50,0.5066
Openemr_PatientData,Patientdata,hipaa_mail,String,Openemr_Lists,Lists,title,String,0.6397,40,0.6863
Openemr_Lists,Lists,activity,Long,MedTakmi_Cdi_Emr_Profile,Cdi,patientID,Long,0.5025,50,0.7294
Openemr_PatientData,Patientdata,genericname2,String,Openemr_Lists,Lists,subtype,String,0.6886,14,0.5586
LPanEmr,Patient,illness,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.4877,43,0.6798
Krsiloemr,tblPatient,LVEF,Double,Openemr_Lists,Lists,modifydate,DateTime,0.7184,0,0.6267
Krsiloemr,tblPatient,LVMI,Double,Openemr_PatientData,Patientdata,completed_ad,String,0.6602,0,0.6928
Openemr_PatientData,Patientdata,guardianstate,String,emrbots,PatientCorePopulatedTable,AdmissionId,Long,0.7597,27,0.7492
Krsiloemr,tblPatient,EncounterDate,Date,Openemr_Lists,Lists,occurence,Long,0.8221,44,0.8858
Openemr_PatientData,Patientdata,pid,Long,Openemr_Lists,Lists,erx_source,Long,0.728,0,0.8319
Openemr_Lists,Lists,extrainfo,String,MedTakmi_Cdi_Emr_Therapy,Cdi,operativeProcedure1,String,0.6955,44,0.7329
Krsiloemr,tblPatient,ECG,Long,LPanEmr,Patient,birthday,Date,0.5059,0,0.5413
Openemr_PatientData,Patientdata,usertext7,String,Krsiloemr,tblPatient,PatientName,String,0.5973,33,0.7877
Openemr_PatientData,Patientdata,hipaa_message,String,LPanEmr,Patient,birthday,Date,0.5233,25,0.7182
Openemr_PatientData,Patientdata,ss,Long,Openemr_Lists,Lists,title,String,0.7864,0,0.8162
Openemr_PatientData,Patientdata,sex,String,Krsiloemr,tblPatient,DateOfBirth,Date,0.3587,33,0.6171
Openemr_PatientData,Patientdata,guardiancity,String,Krsiloemr,tblPatient,eSeptal,Double,0.7248,14,0.6326
Openemr_PatientData,Patientdata,mname,String,emrbots,PatientCorePopulatedTable,PatientLanguage,String,0.5007,40,0.7602
LPanEmr,Patient,description,String,Openemr_PatientData,Patientdata,completed_ad,String,0.7143,18,0.7524
Krsiloemr,tblPatient,ClinicalHistory,Long,Openemr_PatientData,Patientdata,guardiansname,String,0.5422,23,0.7813
MedTakmi_Cdi_Emr_Therapy,Cdi,patientID,Long,Openemr_Lists,Lists,pid,Long,0.5805,33,0.6825
